accommodates,neighbourhood_cleansed,bathrooms,bedrooms,beds,price,room_type,price_per_person,price_category,log_price
7,Copacabana,2.0,3.0,6.0,800.0,Entire home/apt,114.28571428571429,500-1000,6.68586094706836
4,Copacabana,1.0,1.0,2.0,220.0,Entire home/apt,55.0,200-300,5.3981627015177525
2,Santa Teresa,1.0,1.0,1.0,401.0,Private room,200.5,300-500,5.996452088619021
4,Laranjeiras,2.0,2.0,2.0,399.0,Entire home/apt,99.75,300-500,5.991464547107982
4,Leme,1.0,1.0,2.0,198.0,Entire home/apt,49.5,100-200,5.293304824724492
2,Leme,1.0,1.0,2.0,243.0,Entire home/apt,121.5,200-300,5.497168225293202
1,Leme,1.5,1.0,0.0,87.0,Shared room,87.0,<100,4.477336814478207
4,Ipanema,2.0,2.0,3.0,801.0,Entire home/apt,200.25,500-1000,6.687108607866515
2,Vila Isabel,1.0,1.0,1.0,300.0,Private room,150.0,200-300,5.707110264748875
2,Glória,1.0,0.0,1.0,100.0,Entire home/apt,50.0,<100,4.61512051684126
2,Leme,1.0,1.0,1.0,405.0,Entire home/apt,202.5,300-500,6.0063531596017325
3,Leme,1.0,1.0,2.0,290.0,Entire home/apt,96.66666666666667,200-300,5.673323267171493
2,Urca,1.0,1.0,1.0,180.0,Private room,90.0,100-200,5.198497031265826
3,Leme,1.0,1.0,1.0,281.0,Entire home/apt,93.66666666666667,200-300,5.641907070938114
4,Urca,1.0,2.0,2.0,380.0,Entire home/apt,95.0,300-500,5.942799375126701
6,Leme,3.0,3.0,4.0,1153.0,Private room,192.16666666666666,>1000,7.050989447068045
6,Copacabana,2.5,3.0,4.0,1080.0,Entire home/apt,180.0,>1000,6.985641817639208
7,Vila Isabel,2.5,2.0,6.0,420.0,Entire home/apt,60.0,300-500,6.042632833682381
2,Barra da Tijuca,1.0,1.0,1.0,538.0,Private room,269.0,500-1000,6.289715570908998
1,Barra da Tijuca,1.0,1.0,1.0,283.0,Private room,283.0,200-300,5.648974238161206
2,Ipanema,2.0,1.0,2.0,618.0,Entire home/apt,309.0,500-1000,6.428105272684596
2,Copacabana,2.0,1.0,2.0,136.0,Private room,68.0,100-200,4.919980925828125
4,Copacabana,1.0,1.0,1.0,214.0,Entire home/apt,53.5,200-300,5.3706380281276624
6,Copacabana,1.0,2.0,3.0,405.0,Entire home/apt,67.5,300-500,6.0063531596017325
4,Copacabana,2.0,2.0,3.0,750.0,Entire home/apt,187.5,500-1000,6.621405651764134
4,Copacabana,1.0,2.0,3.0,1080.0,Entire home/apt,270.0,>1000,6.985641817639208
2,Jacarepaguá,2.0,1.0,2.0,569.0,Private room,284.5,500-1000,6.345636360828596
2,Copacabana,1.0,1.0,2.0,135.0,Private room,67.5,100-200,4.912654885736052
4,Botafogo,2.0,2.0,2.0,800.0,Entire home/apt,200.0,500-1000,6.68586094706836
4,Barra da Tijuca,2.0,2.0,2.0,618.0,Entire home/apt,154.5,500-1000,6.428105272684596
2,Gávea,1.0,1.0,1.0,150.0,Private room,75.0,100-200,5.017279836814924
1,Copacabana,0.0,0.0,2.0,157.0,Entire home/apt,157.0,100-200,5.062595033026967
2,Laranjeiras,2.0,1.0,2.0,181.0,Private room,90.5,100-200,5.204006687076795
2,Vidigal,1.0,1.0,1.0,360.0,Entire home/apt,180.0,300-500,5.8888779583328805
2,Copacabana,1.0,1.0,2.0,1162.0,Private room,581.0,>1000,7.0587581525186645
5,Leblon,2.0,2.0,3.0,887.0,Entire home/apt,177.4,500-1000,6.78897174299217
4,Jacarepaguá,1.0,1.0,2.0,298.0,Entire home/apt,74.5,200-300,5.700443573390686
2,Copacabana,1.0,1.0,1.0,496.0,Private room,248.0,300-500,6.208590026096629
2,Botafogo,1.0,1.0,2.0,224.0,Entire home/apt,112.0,200-300,5.41610040220442
5,Barra da Tijuca,1.0,2.0,2.0,655.0,Entire home/apt,131.0,500-1000,6.486160788944089
4,Centro,1.0,1.0,2.0,225.0,Entire home/apt,56.25,200-300,5.420534999272286
4,Copacabana,1.0,0.0,3.0,222.0,Entire home/apt,55.5,200-300,5.407171771460119
2,Vidigal,1.0,1.0,3.0,453.0,Entire home/apt,226.5,300-500,6.118097198041348
4,Copacabana,2.0,2.0,2.0,409.0,Entire home/apt,102.25,300-500,6.016157159698354
3,Copacabana,1.0,0.0,2.0,443.0,Entire home/apt,147.66666666666666,300-500,6.095824562432225
4,Botafogo,1.0,2.0,3.0,265.0,Entire home/apt,66.25,200-300,5.583496308781699
2,Centro,1.0,1.0,1.0,625.0,Private room,312.5,500-1000,6.439350371100098
1,Humaitá,1.0,1.0,1.0,189.0,Private room,189.0,100-200,5.247024072160486
4,Jardim Botânico,2.0,1.0,1.0,631.0,Private room,157.75,500-1000,6.448889394146858
4,Laranjeiras,1.0,1.0,1.0,300.0,Private room,75.0,200-300,5.707110264748875
2,Tijuca,1.0,1.0,1.0,154.0,Private room,77.0,100-200,5.043425116919247
2,Copacabana,1.0,1.0,2.0,138.0,Private room,69.0,100-200,4.9344739331306915
4,Curicica,1.0,2.0,2.0,160.0,Private room,40.0,100-200,5.081404364984463
2,Botafogo,1.0,0.0,1.0,414.0,Private room,207.0,300-500,6.028278520230698
4,Botafogo,3.0,2.0,2.0,425.0,Entire home/apt,106.25,300-500,6.054439346269371
4,Vidigal,1.0,2.0,2.0,200.0,Entire home/apt,50.0,100-200,5.303304908059076
2,Copacabana,1.0,1.0,2.0,208.0,Private room,104.0,200-300,5.342334251964811
2,Copacabana,1.0,1.0,1.0,588.0,Entire home/apt,294.0,500-1000,6.3784261836515865
2,São Conrado,1.0,0.0,2.0,238.0,Entire home/apt,119.0,200-300,5.476463551931511
2,Copacabana,1.0,0.0,1.0,175.0,Entire home/apt,87.5,100-200,5.170483995038151
3,Botafogo,2.0,1.0,1.0,280.0,Private room,93.33333333333333,200-300,5.638354669333745
2,Santa Teresa,1.0,0.0,4.0,104.0,Entire home/apt,52.0,100-200,4.653960350157523
2,Copacabana,1.0,1.0,1.0,215.0,Entire home/apt,107.5,200-300,5.375278407684165
2,Copacabana,1.0,1.0,1.0,350.0,Entire home/apt,175.0,300-500,5.860786223465865
